country,total_covid_cases_per_million,total_covid_deaths_per_million,continent,population
Afghanistan,1289.5881,53.944363,Asia,40578847
Armenia,55333.44,979.90894,Asia,2880880
Azerbaijan,21037.158,250.11395,Asia,10295307
Bahrain,60272.195,229.54625,Asia,1533460
Bangladesh,3031.6162,44.626175,Asia,169384891
Bhutan,857.9613,0,Asia,780921
Brunei,344.77155,6.587991,Asia,455374
Cambodia,21.276941,0,Asia,17201721
China,67.83215,3.3595767,Asia,1425179562
East Timor,32.133232,0,Asia,1369299
Georgia,59929.66,660.11694,Asia,3794782
Hong Kong,,,Asia,7465913
India,7202.5444,104.34656,Asia,1425423209
Indonesia,2665.4111,79.3959,Asia,278830527
Iran,13613.664,615.41986,Asia,89524247
Iraq,13488.416,290.62488,Asia,44070556
Israel,46100.67,366.46683,Asia,9103143
Japan,1842.4677,27.312529,Asia,124997585
Jordan,26035.893,338.92224,Asia,11256269
Kazakhstan,10004.836,137.21254,Asia,20034612
Kuwait,32748.129,203.2895,Asia,4589514
Kyrgyzstan,0,0,Asia,6955792
Laos,5.423992,0,Asia,7559008
Lebanon,30985.508,251.19714,Asia,5744492
Macao,,,Asia,704360
Malaysia,3184.4192,13.344672,Asia,34695494
Maldives,26248.006,91.58278,Asia,524116
Mongolia,358.8289,0.29533243,Asia,3386015
Myanmar,2318.4048,49.891373,Asia,53756791
Nepal,8769.617,92.81372,Asia,29715435
North Korea,0,0,Asia,26328843
Oman,27212.002,316.47516,Asia,4730229
Pakistan,1958.3041,41.226807,Asia,243700667
Palestine,29046.002,282.73752,Asia,5305274
Philippines,4146.2354,80.99024,Asia,113964343
Qatar,49653.48,84.70281,Asia,2892466
Saudi Arabia,11269.527,193.12921,Asia,32175351
Singapore,10366.4,5.132845,Asia,5649888
South Korea,1172.6353,17.380384,Asia,51782515
Sri Lanka,1896.171,8.933668,Asia,22834965
Syria,505.0269,31.341585,Asia,22462170
Taiwan,,,Asia,23420107
Tajikistan,1342.0442,8.83893,Asia,10182228
Thailand,95.96388,0.8503482,Asia,71735321
Turkey,25204.578,237.10503,Asia,87058469
Turkmenistan,0,0,Asia,7230197
United Arab Emirates,20122.074,64.928185,Asia,10242085
Uzbekistan,0.25759214,0,Asia,34938953
Vietnam,14.606646,0.35112128,Asia,99680656
Yemen,54.96708,15.98519,Asia,38222878